method,factor_type,factor_name,train_q_value,holding_period,rank_ic,icir,raw_ir,net_ir,daily_turnover,portfolio_turnover,annual_return,tracking_error,info_retention,ic_half_life
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.01,20D,0.0046,0.058,-0.3309,-0.366,0.0434,0.1451,-0.0258,0.0781,-45.86,19.7
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.164,1D,0.0076,0.0499,-0.1482,-0.462,0.0357,0.0998,-0.0178,0.1202,100.0,3.6
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.164,5D,0.0018,0.0131,-0.3331,-0.4002,0.0357,0.0998,-0.0374,0.1124,23.13,3.6
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.164,10D,0.0026,0.0212,-0.124,-0.1595,0.0357,0.0998,-0.0132,0.1066,34.1,3.6
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.164,20D,0.0138,0.0991,-0.1034,-0.1184,0.0357,0.0998,-0.013,0.1261,181.52,3.6
baseline,价值因子,stable_vwap_deviation_rank_enhanced_v2,5.164,1D,0.0079,0.0507,0.0394,-0.2722,0.0299,0.1089,0.0052,0.132,100.0,3.7
baseline,价值因子,stable_vwap_deviation_rank_enhanced_v2,5.164,5D,0.0021,0.0152,-0.0145,-0.0899,0.0299,0.1089,-0.0016,0.1091,26.05,3.7
baseline,价值因子,stable_vwap_deviation_rank_enhanced_v2,5.164,10D,0.0023,0.0185,-0.0693,-0.1069,0.0299,0.1089,-0.0076,0.1094,28.75,3.7
baseline,价值因子,stable_vwap_deviation_rank_enhanced_v2,5.164,20D,0.0118,0.0828,-0.2441,-0.2605,0.0299,0.1089,-0.0305,0.1248,150.25,3.7
debate,价值因子,vwap_deviation_value_proxy_optimized,5.638,1D,-0.0153,-0.1164,-2.7009,-3.3611,0.0596,0.2078,-0.3213,0.119,100.0,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.638,5D,-0.0323,-0.261,-2.3079,-2.4424,0.0596,0.2078,-0.2694,0.1167,210.7,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.638,10D,-0.0316,-0.2756,-1.819,-1.8965,0.0596,0.2078,-0.1845,0.1014,205.87,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.638,20D,-0.0209,-0.1753,-1.0114,-1.0543,0.0596,0.2078,-0.0924,0.0914,135.97,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.442,1D,-0.0075,-0.0431,0.7862,0.0352,0.1573,0.2996,0.1186,0.1508,100.0,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.442,5D,0.0232,0.1325,0.953,0.7984,0.1573,0.2996,0.1396,0.1465,-310.26,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.442,10D,0.0232,0.128,0.5852,0.5131,0.1573,0.2996,0.0919,0.1571,-309.82,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.442,20D,0.0144,0.0854,-0.0296,-0.0692,0.1573,0.2996,-0.0042,0.143,-192.09,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.144,1D,0.0049,0.0319,-1.2771,-2.0238,0.1221,0.266,-0.172,0.1347,100.0,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.144,5D,-0.0086,-0.0597,-0.8056,-0.9669,0.1221,0.266,-0.1005,0.1247,-173.58,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.144,10D,-0.0215,-0.1494,-0.6116,-0.6887,0.1221,0.266,-0.0798,0.1304,-436.71,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.144,20D,-0.0177,-0.1181,-0.303,-0.3398,0.1221,0.266,-0.0414,0.1366,-359.89,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.442,1D,-0.0072,-0.0392,0.7022,0.3862,0.036,0.1372,0.1153,0.1642,100.0,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.442,5D,0.0063,0.0349,0.5438,0.477,0.036,0.1372,0.0845,0.1553,-87.58,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.442,10D,0.005,0.0287,-0.0135,-0.0471,0.036,0.1372,-0.0021,0.1541,-69.17,40.0
debate,价值因子,vwap_deviation_value_proxy_optimized,5.442,20D,-0.0244,-0.1567,-0.5315,-0.5505,0.036,0.1372,-0.0725,0.1365,339.28,40.0
